Cuenta_Twitter,Usuario,Texto,Creado en,Retweets,Likes
AlertaMundoNews,Alerta Mundial,🚔🚨| El Departamento de Policía de Irvine presentó hoy su nuevo Tesla Cybertruck como vehículo policial. https://t.co/4EdR4k0NaS,Tue Oct 08 23:42:53 +0000 2024,138,788
SeleccionPeru,La Bicolor,"𝗛𝗼𝘆 𝗲𝗻𝘁𝗿𝗲𝗻𝗮𝗺𝗼𝘀 𝗲𝗻 𝗰𝗮𝘀𝗮 🏟️

🎟️ Adquiere tus entradas en https://t.co/LxVUksYg9d

#UnSentimientoQueNosUne https://t.co/ddXrQNDgTr",Tue Oct 08 23:57:12 +0000 2024,16,137
wallstwolverine,Wall Street Wolverine,"Imagen del hombre de 31 años, de nacionalidad ecuatoriana, detenido después de agredir a varias personas, incluyendo a una bebé de un año en el parque de Montjuïc. https://t.co/ROZui01qcW",Mon Oct 07 17:41:01 +0000 2024,4561,34527
RCamachoVzla,Roman Camacho,"Funcionarios del Cicpc esclarecieron el homicidio de Mercedes Herrera, ocurrido el lunes 30 de septiembre en su casa en Altamira. Determinaron que el robo fue el móvil del hecho.

Por el crimen detuvieron a Frenyerlyng Carolina Ortiz quien tenía meses trabajando como doméstica https://t.co/LMs993pbaO",Tue Oct 08 18:19:13 +0000 2024,742,1547
CNE_COLOMBIA,CNE Colombia,"En el siguiente link:

https://t.co/VMaq2iJjYo

Podrán encontrar el Comunicado de Prensa completo. https://t.co/oMIGJXXOYM",Tue Oct 08 19:27:35 +0000 2024,1214,3103
eduardomenoni,Eduardo Menoni,"🚨| ÚLTIMA HORA: Tras el enorme fracaso de El JOKER 2, lanzado apenas hace 3 días y llamado “El mayor fracaso de taquilla en 2024”, algunos cines la están sacando de cartelera. La ideología progre destruyó el film junto a Lady Gaga. ⚠️ ¿Apoyas este DURÍSIMO GOLPE a los progres? https://t.co/NPFnrKhGJP",Mon Oct 07 19:04:57 +0000 2024,5374,50523
andreanimalidad,Andrea Padilla Villarraga🐆,¡Aplausos y agradecimiento a las y los rescatistas de Huella Animalista de Bogotá que pusieron a salvo a este perrito y fueron más diligentes que el @AnimalesBOG (apenas están en camino). En video: el rescate y la valoración médica inicial. ¡Gracias por denunciar y rescatar! https://t.co/HLBqkemXzX,Tue Oct 08 22:32:21 +0000 2024,836,3951
eduardomenoni,Eduardo Menoni,Llegaron a México todos los presidentes comunistas y zurdos de la región. ¿Estás de acuerdo en que estos progres son una gran MIERDA? ✋🏼 https://t.co/RpJXV8rwEz,Tue Oct 01 00:03:50 +0000 2024,6842,29754
maps_black,BlackMaps 🗺️,Cuál es la distancia ideal en la que debe estar un desconocido https://t.co/bdgM5d0F7W,Tue Oct 08 21:23:26 +0000 2024,265,9778
rodoaguiar,Rodolfo Aguiar,"ÚLTIMO MOMENTO!!
EL HOSPITAL BONAPARTE NO SE CIERRA!! 

TRIUNFO LA LUCHA DE LOS TRABAJADORES Y DE ATE!!

El Gobierno acaba de acordar con ATE que no habrá clausuras de servicios, ni cierre del hospital Laura Bonaparte. Además se garantiza la continuidad de los 612 puestos de https://t.co/3l3InLHRq6",Tue Oct 08 20:54:32 +0000 2024,2177,9268
ECUAGOL,Ecuagol,"SORTEO DE ENTRADAS🎟️ 

@ECUAGOL y @BancoGuayaquil te llevan al partido de #Ecuador🇪🇨 vs #Paraguay🇵🇾 este jueves 10 de octubre a las 16h00 en el Rodrigo Paz Delgado🏟️

Sigue estos pasos:
1) Comenta el marcador
2) Usa el #ElBancoDelFutbol 

Listo, estás participando😉

#Ecuagol https://t.co/170Pz8NrwZ",Tue Oct 08 23:31:07 +0000 2024,28,66
EcuavisaInforma,Ecuavisa Noticias,🚨 La cabeza del alcalde de #Chilpancingo fue hallada encima de un carro. El resto del cuerpo estaba dentro del vehículo. 📲 https://t.co/urueTWnV1m https://t.co/RcsHH6wj36,Tue Oct 08 23:54:51 +0000 2024,14,61
RiverPlate,River Plate,¡HOY JUEGA RIVER! ⚪🔴⚪ https://t.co/1piiNlYf1S,Sun Oct 06 03:00:01 +0000 2024,1084,14666
